Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"126,400",14.1,"60,300",14,"66,100",14.1
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"169,500",18.8,"78,200",18.2,"91,300",19.4
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"365,600",45,"185,900",49,"179,700",40
Had the pneumococcal vaccine 14,"437,900",51,"199,800",49,"238,100",53
Had the shingles vaccine 15,"262,500",30,"112,200",27,"150,300",33
Influenza immunization in the past 12 months 16 17,"535,500",65,"250,500",67,"285,000",64
Used the Internet in the past 12 months 18,"696,300",77,"335,900",78,"360,400",77
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"475,600",58,"246,700",65,"228,900",51
Has trouble sleeping or staying asleep most of the time or all of the time 19,"137,300",16.7,"46,300",12.3,"91,000",20
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"827,000",93.6,"394,800",93.9,"432,200",93.4
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"22,600E",2.6E,"10,500E",2.5E,"12,100E",2.6E
Health of mouth - very good or excellent 21,"529,100",59,"248,900",58,"280,200",60
Health of mouth - fair or poor 21,"90,300",10.1,"49,800",11.6,"40,500",8.6
Able to brush teeth without help 22,"892,600",99.3,"427,800",99.6,"464,800",99
Home has adaptations 23,"279,100",31,"109,700",26,"169,400",36
Had a fall in the past 12 months 24,"156,600",17.4,"66,400",15.5,"90,200",19.2
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","154,700",17.3,"59,900",13.9,"94,800",20
Received community support services in the past 12 months 26,"79,300",8.8,"28,400",6.6,"50,900",10.8
Felt a lack of companionship - often 27,"36,400",4.5,"14,700E",3.9E,"21,700",4.9
Felt left out - often 28,"16,000E",2.0E,"6,300E",1.7E,"9,700E",2.2E
Felt isolated from others - often 29,"24,500E",3.0E,"12,900E",3.4E,"11,800E",2.6E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","162,700",20,"68,900",18.4,"93,800",21
Has valid driver's license 31,"752,000",83.5,"371,600",86.5,"380,400",80.8
