Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"23,400",15.1,"11,500",15.7,"11,900",14.5
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"28,800",18.6,"11,300",15.6,"17,500",21
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"58,100",41,"29,400",45,"28,700",37
Had the pneumococcal vaccine 14,"61,600",42,"27,300",41,"34,300",43
Had the shingles vaccine 15,"34,100",23,"17,100",24,"17,000",21
Influenza immunization in the past 12 months 16 17,"88,800",63,"40,100",62,"48,700",63
Used the Internet in the past 12 months 18,"99,800",64,"46,000",63,"53,800",65
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"80,100",57,"40,100",62,"40,000",52
Has trouble sleeping or staying asleep most of the time or all of the time 19,"24,000",17,"9,600",14.8,"14,400",18.7
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"142,700",93.9,"67,900",94.8,"74,800",93.2
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"3,900E",2.6E,"1,300E",1.8E,"2,600E",3.3E
Health of mouth - very good or excellent 21,"90,100",59,"39,800",55,"50,300",62
Health of mouth - fair or poor 21,"12,600",8.2,"5,600",7.7,"7,000",8.6
Able to brush teeth without help 22,"151,600",98.3,"71,100",98.2,"80,500",98.3
Home has adaptations 23,"56,400",36,"24,300",33,"32,100",39
Had a fall in the past 12 months 24,"26,200",16.9,"11,700",16.1,"14,500",17.6
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","32,400",21,"12,400",17.1,"20,000",24
Received community support services in the past 12 months 26,"14,500",9.3,"6,300E",8.6E,"8,200",10
Felt a lack of companionship - often 27,"8,700",6.1,"2,900E",4.5E,"5,800",7.5
Felt left out - often 28,"4,700E",3.3E,"1,400E",2.2E,"3,300E",4.3E
Felt isolated from others - often 29,"4,000E",2.8E,"1,000E",1.4E,"3,100E",4.0E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","24,100",17,"8,100",12.4,"16,000",21
Has valid driver's license 31,"135,700",87.5,"69,000",94.7,"66,700",81.1
