Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"13,200",12.3,"7,300",14.2,"6,100",10.6
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"18,000",16.7,"7,900",15.5,"10,100",17.8
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"39,500",40,"18,200",41,"21,300",40
Had the pneumococcal vaccine 14,"32,400",32,"14,900",31,"17,500",32
Had the shingles vaccine 15,"18,200",17,"8,400",16.7,"9,800",17.3
Influenza immunization in the past 12 months 16 17,"53,300",54,"23,200",52,"29,900",56
Used the Internet in the past 12 months 18,"68,700",64,"29,300",57,"39,400",69
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"52,800",54,"27,500",62,"25,300",47
Has trouble sleeping or staying asleep most of the time or all of the time 19,"17,500",17.8,"7,100",15.9,"10,400",19.4
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"97,800",91.5,"46,700",92.3,"51,100",90.8
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"4,200E",3.9E,"1,800E",3.6E,"2,400E",4.2E
Health of mouth - very good or excellent 21,"63,300",59,"29,600",58,"33,700",59
Health of mouth - fair or poor 21,"9,600",9,"4,500E",8.9E,"5,100E",9.0E
Able to brush teeth without help 22,"103,700",96.5,"48,000",94.1,"55,700",98.7
Home has adaptations 23,"37,400",35,"16,200",32,"21,200",37
Had a fall in the past 12 months 24,"13,900",12.9,"5,800E",11.4E,"8,100",14.3
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","20,800",19.4,"7,900",15.6,"12,900",23
Received community support services in the past 12 months 26,"10,100",9.4,"4,400E",8.7E,"5,700E",10.1E
Felt a lack of companionship - often 27,"4,700E",4.8E,"2,200E",4.9E,"2,500E",4.7E
Felt left out - often 28,"2,400E",2.4E,F,F,"1,300E",2.5E
Felt isolated from others - often 29,"1,900E",1.9E,F,F,"1,400E",2.7E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","17,200",17.6,"6,400",14.5,"10,800",20
Has valid driver's license 31,"85,600",79,"45,500",89.2,"40,100",70
