Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"26,900",14,"10,700",12.1,"16,200",15.6
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"33,700",17.5,"14,900",16.8,"18,800",18.2
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"71,200",40,"34,000",42,"37,200",38
Had the pneumococcal vaccine 14,"90,700",49,"36,000",43,"54,700",55
Had the shingles vaccine 15,"50,500",26,"20,500",23,"30,000",29
Influenza immunization in the past 12 months 16 17,"127,500",71,"56,200",69,"71,300",72
Used the Internet in the past 12 months 18,"134,300",70,"63,400",71,"70,900",69
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"100,900",56,"50,200",62,"50,700",51
Has trouble sleeping or staying asleep most of the time or all of the time 19,"31,900",17.7,"12,700",15.7,"19,200",19.4
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"179,500",95.2,"83,800",96,"95,700",94.6
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"3,100E",1.7E,F,F,"2,000E",1.9E
Health of mouth - very good or excellent 21,"117,100",61,"49,600",56,"67,700",66
Health of mouth - fair or poor 21,"21,900",11.4,"11,000",12.4,"10,900",10.6
Able to brush teeth without help 22,"189,200",98.5,"87,600",98.4,"101,600",98.6
Home has adaptations 23,"76,100",40,"30,400",34,"45,700",44
Had a fall in the past 12 months 24,"32,400",16.9,"13,500",15.2,"18,900",18.3
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","39,400",20,"14,600",16.4,"24,700",24
Received community support services in the past 12 months 26,"22,600",11.8,"9,600",10.8,"13,000",12.6
Felt a lack of companionship - often 27,"8,900",4.9,"3,300E",4.0E,"5,600",5.7
Felt left out - often 28,"4,000E",2.2E,"1,800E",2.3E,"2,200E",2.2E
Felt isolated from others - often 29,"3,900E",2.2E,"1,100E",1.4E,"2,800E",2.8E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","38,400",21,"18,100",22,"20,300",21
Has valid driver's license 31,"165,800",86.2,"82,900",93.1,"82,900",80.1
