Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"235,600",14.8,"110,100",14.9,"125,500",14.7
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"288,500",18.1,"119,500",16.2,"169,000",19.8
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"673,300",45,"323,700",47,"349,600",43
Had the pneumococcal vaccine 14,"757,500",50,"319,200",46,"438,300",54
Had the shingles vaccine 15,"316,600",20,"157,400",22,"159,200",19.1
Influenza immunization in the past 12 months 16 17,"687,400",46,"302,600",44,"384,800",47
Used the Internet in the past 12 months 18,"1,094,300",69,"525,300",72,"569,000",67
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"906,100",60,"474,600",69,"431,500",53
Has trouble sleeping or staying asleep most of the time or all of the time 19,"221,700",14.7,"71,000",10.3,"150,700",18.4
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"1,469,800",93.3,"692,800",94.7,"777,000",92.1
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"28,300E",1.8E,F,F,"17,100E",2.0E
Health of mouth - very good or excellent 21,"1,041,200",66,"483,200",65,"558,000",66
Health of mouth - fair or poor 21,"102,600",6.4,"45,600E",6.2E,"57,000",6.7
Able to brush teeth without help 22,"1,573,100",98.9,"723,800",98.2,"849,300",99.6
Home has adaptations 23,"392,900",25,"143,900",19.6,"249,000",29
Had a fall in the past 12 months 24,"236,400",14.9,"103,300",14,"133,100",15.6
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","262,600",16.5,"89,500",12.1,"173,100",20
Received community support services in the past 12 months 26,"122,100",7.7,"41,800",5.7,"80,300",9.4
Felt a lack of companionship - often 27,"82,000",5.5,"25,300E",3.7E,"56,700",6.9
Felt left out - often 28,"24,800",1.7,"7,900E",1.2E,"16,900E",2.1E
Felt isolated from others - often 29,"33,200",2.2,"10,500E",1.6E,"22,600",2.8
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","197,800",13.1,"81,200",11.8,"116,600",14.3
Has valid driver's license 31,"1,250,600",79,"660,000",89.7,"590,600",69
