Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"23,500",13.9,"9,500",12,"14,000",15.6
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"33,000",19.4,"15,100",19,"17,900",19.8
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"66,300",41,"32,200",44,"34,100",39
Had the pneumococcal vaccine 14,"81,700",50,"34,000",44,"47,700",55
Had the shingles vaccine 15,"43,600",26,"20,700",26,"22,900",26
Influenza immunization in the past 12 months 16 17,"96,700",60,"42,000",58,"54,700",63
Used the Internet in the past 12 months 18,"117,600",69,"56,900",71,"60,700",67
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"86,700",54,"46,500",64,"40,200",46
Has trouble sleeping or staying asleep most of the time or all of the time 19,"28,200",17.6,"9,200",12.7,"19,000",22
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"158,900",95.2,"75,400",95.8,"83,500",94.6
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"2,100E",1.3E,F,F,"1,300E",1.4E
Health of mouth - very good or excellent 21,"95,500",56,"44,500",56,"51,000",57
Health of mouth - fair or poor 21,"18,200",10.7,"10,300",12.8,"7,900",8.9
Able to brush teeth without help 22,"169,000",99.2,"79,500",99.4,"89,400",99.1
Home has adaptations 23,"58,800",35,"24,300",30,"34,500",39
Had a fall in the past 12 months 24,"31,100",18.3,"11,800",14.7,"19,300",21
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","35,700",21,"13,000",16.2,"22,700",25
Received community support services in the past 12 months 26,"14,500",8.5,"5,600",7,"8,900",9.9
Felt a lack of companionship - often 27,"10,900",6.9,"3,700E",5.2E,"7,200E",8.3E
Felt left out - often 28,"6,400E",4.0E,"2,100E",2.9E,"4,300E",4.9E
Felt isolated from others - often 29,"5,600E",3.5E,"2,300E",3.2E,"3,300E",3.8E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","34,100",21,"15,500",21,"18,600",21
Has valid driver's license 31,"149,400",87.7,"75,000",93.5,"74,400",82.5
