Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"67,000",11.6,"38,200",14,"28,900",9.4
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"114,000",19.7,"51,200",18.8,"62,700",20.4
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"235,900",43.1,"110,000",43.9,"125,900",42.3
Had the pneumococcal vaccine 14,"297,300",53,"126,900",48.2,"170,300",57.1
Had the shingles vaccine 15,"215,500",37.5,"97,600",36.2,"117,900",38.7
Influenza immunization in the past 12 months 16 17,"370,200",67.9,"166,400",66.5,"203,800",69
Used the Internet in the past 12 months 18,"460,900",79.3,"222,400",80.9,"238,500",77.9
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"305,900",55.9,"157,600",63,"148,300",49.9
Has trouble sleeping or staying asleep most of the time or all of the time 19,"96,000",17.5,"34,700",13.9,"61,300",20.6
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"547,500",95.6,"261,400",96.8,"286,100",94.6
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"10,200E",1.8E,F,F,"6,500E",2.2E
Health of mouth - very good or excellent 21,"345,700",59.7,"157,600",57.4,"188,000",61.8
Health of mouth - fair or poor 21,"58,100",10,"32,200",11.7,"25,800",8.5
Able to brush teeth without help 22,"576,400",99.1,"273,600",99.6,"302,800",98.6
Home has adaptations 23,"176,200",30.3,"66,700",24.3,"109,500",35.7
Had a fall in the past 12 months 24,"106,500",18.3,"48,200",17.6,"58,300",19
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","91,400",15.7,"33,300",12.1,"58,100",18.9
Received community support services in the past 12 months 26,"50,800",8.7,"13,800E",5.0E,"37,000",12.1
Felt a lack of companionship - often 27,"37,900",6.9,"16,100E",6.5E,"21,800",7.4
Felt left out - often 28,"18,800E",3.5E,"8,600E",3.5E,"10,200E",3.4E
Felt isolated from others - often 29,"34,400",6.3,"12,200E",4.9E,"22,300E",7.5E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","151,000",27.7,"55,800",22.4,"95,200",32.1
Has valid driver's license 31,"502,100",86.3,"250,500",91.1,"251,500",82
