Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"25,500",12.3,"11,000E",11.4E,"14,400",13.1
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"35,200",17,"14,400",14.9,"20,800",18.9
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"68,600",35.1,"31,100",34.8,"37,500",35.3
Had the pneumococcal vaccine 14,"118,400",59.9,"48,000",52.7,"70,400",66.1
Had the shingles vaccine 15,"68,400",33.7,"33,600",35.2,"34,800",32.3
Influenza immunization in the past 12 months 16 17,"133,900",68.6,"60,800",68.1,"73,100",69
Used the Internet in the past 12 months 18,"160,800",77.9,"76,300",79,"84,500",76.8
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"116,400",59.6,"59,200",66.3,"57,300",54
Has trouble sleeping or staying asleep most of the time or all of the time 19,"33,900",17.4,"12,700",14.2,"21,200",20
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"192,700",94.2,"89,500",93.7,"103,300",94.6
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,"4,000E",2.0E,F,F,"2,900E",2.6E
Health of mouth - very good or excellent 21,"121,100",58.6,"53,400",55.3,"67,700",61.4
Health of mouth - fair or poor 21,"16,700",8.1,"9,200",9.5,"7,600E",6.9E
Able to brush teeth without help 22,"204,400",99.1,"95,000",99,"109,400",99.1
Home has adaptations 23,"75,300",36.5,"29,800",30.8,"45,600",41.5
Had a fall in the past 12 months 24,"36,100",17.6,"15,700",16.4,"20,400",18.6
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","37,600",18.2,"10,300E",10.7E,"27,200",24.7
Received community support services in the past 12 months 26,"18,200",8.8,"5,400E",5.7E,"12,700",11.6
Felt a lack of companionship - often 27,"14,500",7.5,"5,100E",5.7E,"9,400E",9.0E
Felt left out - often 28,"9,300E",4.8E,"3,500E",3.9E,"5,800E",5.5E
Felt isolated from others - often 29,"20,700",10.6,"7,600E",8.5E,"13,100",12.4
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","64,300",33,"22,600",25.3,"41,600",39.4
Has valid driver's license 31,"180,700",87.3,"89,700",92.9,"91,000",82.5
