Indicator,Both Sexes,Both Percent,Male,Male Percent,Female,Female Percent
Health is perceived to be somewhat better or much better than 1 year ago 12,"3,300",10.8,"1,400E",9.8E,"1,900",11.8
Health is perceived to be somewhat worse or much worse than 1 year ago 12,"4,400",14.6,"1,700E",12.2E,"2,700",16.6
Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13,"10,200",36.1,"4,600",36.5,"5,600",35.8
Had the pneumococcal vaccine 14,"13,500",45.3,"6,100",44.4,"7,400",46.1
Had the shingles vaccine 15,"11,400",37.8,"5,600",40,"5,800",35.9
Influenza immunization in the past 12 months 16 17,"20,900",73.9,"9,100",72.5,"11,800",75
Used the Internet in the past 12 months 18,"23,700",77.8,"10,900",77,"12,800",78.6
Has trouble sleeping or staying asleep a little of the time or none of the time 19,"17,400",61.4,"8,200",65.6,"9,100",58.1
Has trouble sleeping or staying asleep most of the time or all of the time 19,"4,200",14.7,"1,500E",12.3E,"2,600",16.7
Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20,"29,000",95.9,"13,600",96,"15,400",95.8
Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20,600E,2.1E,F,F,F,F
Health of mouth - very good or excellent 21,"20,100",66,"9,700",68.2,"10,400",64.1
Health of mouth - fair or poor 21,"2,700",8.9,"1,500E",10.9E,"1,200E",7.1E
Able to brush teeth without help 22,"29,700",97.5,"13,800",97.1,"15,900",97.7
Home has adaptations 23,"11,500",37.7,"4,700",33.1,"6,800",41.7
Had a fall in the past 12 months 24,"4,600",15.2,"2,000",14.2,"2,600",16.1
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","4,900",16.2,"1,600",11.1,"3,400",20.7
Received community support services in the past 12 months 26,"2,500",8.1,900E,6.2E,"1,600",9.8
Felt a lack of companionship - often 27,"1,400E",5.1E,500E,4.2E,900E,5.8E
Felt left out - often 28,600E,2.2E,F,F,500E,2.9E
Felt isolated from others - often 29,800E,2.9E,200E,F,600E,3.7E
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","7,200",25.6,"2,600",20.5,"4,700",29.6
Has valid driver's license 31,"27,800",91,"13,200",93.3,"14,500",89
