"Health characteristics of seniors aged 65 and over, Canadian Health Survey on Seniors, two-year period estimates 1 2 3 4"
"Frequency: Occasional"
"Table: 13-10-0850-01"
"Release date: 2022-04-19"
"Geography: Canada, Province or territory"
""
""

"Geography","Alberta",,,,,
"Age group","65 years and over (total)",,,,,
,"2019 / 2020",,,,,
"Sex","Both sexes",,"Males",,"Females",
"Characteristics 4 5 6 7 8 9 10 11","Number of persons","Percentage","Number of persons","Percentage","Number of persons","Percentage"
"Indicators"
"Health is perceived to be somewhat better or much better than 1 year ago 12","71,700","12.6","37,600","14.0","34,000","11.3"
"Health is perceived to be somewhat worse or much worse than 1 year ago 12","108,900","19.1","46,900","17.5","62,000","20.6"
"Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13","227,700","42.6","108,100","43.4","119,600","41.9"
"Had the pneumococcal vaccine 14","289,700","52.9","123,900","48.2","165,800","57.0"
"Had the shingles vaccine 15","198,400","35.4","89,000","33.8","109,400","36.9"
"Influenza immunization in the past 12 months 16 17","352,900","66.2","162,800","65.4","190,200","66.8"
"Used the Internet in the past 12 months 18","446,900","78.3","214,200","79.6","232,700","77.1"
"Has trouble sleeping or staying asleep a little of the time or none of the time 19","292,600","54.8","154,600","62.2","138,000","48.4"
"Has trouble sleeping or staying asleep most of the time or all of the time 19","98,100","18.4","34,900","14.0","63,200","22.2"
"Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20","532,100","94.8","254,100","96.1","278,000","93.7"
"Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20","10,900E","1.9E","4,100E","1.5E","6,800E","2.3E"
"Health of mouth - very good or excellent 21","341,600","59.9","155,100","57.6","186,500","62.0"
"Health of mouth - fair or poor 21","50,000","8.8","27,700","10.3","22,300","7.4"
"Able to brush teeth without help 22","565,000","98.9","266,900","99.1","298,200","98.7"
"Home has adaptations 23","181,000","31.7","69,500","25.8","111,500","37.0"
"Had a fall in the past 12 months 24","108,100","18.9","46,900","17.5","61,100","20.2"
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","99,400","17.4","32,700","12.2","66,700","22.1"
"Received community support services in the past 12 months 26","49,900","8.7","15,500","5.8","34,400","11.4"
"Felt a lack of companionship - often 27","36,100","6.8","14,900","6.0","21,200","7.5"
"Felt left out - often 28","19,200","3.6","7,900E","3.2E","11,300","4.0"
"Felt isolated from others - often 29","25,200","4.7","8,900E","3.6E","16,300","5.7"
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","F","F","F","F","F","F"
"Has valid driver's license 31","490,300","85.8","245,600","91.2","244,800","81.0"

Symbol legend:
E, use with caution
F, too unreliable to be published




Footnotes:
1,"Source: Statistics Canada, Canadian Health Survey on Seniors (CHSS)."
2,"All estimates in this table are calculated excluding non-response categories ("refusal", "don't know", and "not stated") in the denominator."
3,"Data for the Canadian Health Survey on Seniors (CHSS) are collected from an annual sample of approximately 23,500 respondents for each year."
4,"The COVID-19 pandemic had major impacts on the data collection operations for Canadian Health Survey on Seniors (CHSS) 2020. The collection was stopped mid-March, towards the end of the first collection period, and did not resume until September. The second, third and fourth quarterly samples were collected during very short collection periods, each of about five weeks, from September to December. The impossibility of conducting in-person interviews, the shorter collection periods and collection capacity issues resulted in a significant decrease in the response rates. As for the 2019 CHSS cycle, survey weights were adjusted to minimize any potential bias that could arise from survey non-response; non-response adjustments and calibration using available auxiliary information were applied and are reflected in the survey weights provided with the data file. Extensive validations of survey estimates were also performed and examined from a bias analysis perspective. Despite these rigorous adjustments and validations, the high non-response increases the risk of a remaining bias and the magnitude with which such a bias could impact estimates produced using the combined 2019-2020 survey data. Therefore, users are advised to use the CHSS 2019-2020 data with caution, especially when creating estimates for small sub-populations."
5,"The confidence interval illustrates the degree of variability associated with a rate. Wide confidence intervals indicate high variability, thus, these rates should be interpreted with due caution. When comparing estimates, it is important to use confidence intervals to determine if differences between values are statistically significant."
6,"Bootstrapping techniques were used to produce the 95% confidence intervals (CIs)."
7,"Data with a coefficient of variation (CV) from 15.1% to 35.0% are identified as follows: (E) use with caution."
8,"Data with a coefficient of variation (CV) greater than 35.0% or that did not meet the minimum sample size requirement were suppressed due to extreme sampling variability and are identified as follows: (F) too unreliable to be published."
9,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable."
10,"Percentages are rounded to the nearest tenth. Numbers are rounded to the nearest hundred."
11,"Census population counts have been used to produce the population projection counts. These counts are used to ensure that the Canadian Health Survey on Seniors (CHSS) survey weights and resulting estimates included in this table are consistent with known population totals."
12,"Population aged 65 and over who reported perceiving their own health status as being either much better or somewhat better than one year ago or either somewhat worse or much worse than one year ago, depending on the indicator. Perceived health refers to the perception of a person's health in general, either by the person himself or herself, or, in the case of proxy response, by the person responding. Health means not only the absence of disease or injury, but also physical, mental and social well-being."
13,"Population aged 65 and over who reported requiring a visit to a medical specialist for a diagnosis or a consultation in the past 12 months."
14,"Population aged 65 and over who reported receiving the pneumococcal vaccine as an adult. The pneumococcal vaccine protects against pneumonia. Brand names of the vaccine are Prevnar-13 and Pneumovax-23."
15,"Population aged 65 and over who reported receiving the shingles vaccine, also known as herpes zoster vaccine, as an adult. Brand names of the vaccine are Shingrix and Zostavax."
