"Health characteristics of seniors aged 65 and over, Canadian Health Survey on Seniors, two-year period estimates 1 2 3 4"
"Frequency: Occasional"
"Table: 13-10-0850-01"
"Release date: 2022-04-19"
"Geography: Canada, Province or territory"
""
""

"Geography","Manitoba",,,,,
"Age group","65 years and over (total)",,,,,
,"2019 / 2020",,,,,
"Sex","Both sexes",,"Males",,"Females",
"Characteristics 4 5 6 7 8 9 10 11","Number of persons","Percentage","Number of persons","Percentage","Number of persons","Percentage"
"Indicators"
"Health is perceived to be somewhat better or much better than 1 year ago 12","27,700","13.6","12,000","12.7","15,700","14.4"
"Health is perceived to be somewhat worse or much worse than 1 year ago 12","36,500","17.9","14,900","15.7","21,600","19.8"
"Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13","73,900","38.7","33,500","38.3","40,400","39.0"
"Had the pneumococcal vaccine 14","111,200","57.2","44,800","50.3","66,300","63.1"
"Had the shingles vaccine 15","63,400","31.6","29,000","31.0","34,300","32.1"
"Influenza immunization in the past 12 months 16 17","123,700","65.0","55,100","63.3","68,600","66.4"
"Used the Internet in the past 12 months 18","151,500","74.2","71,700","75.5","79,800","73.2"
"Has trouble sleeping or staying asleep a little of the time or none of the time 19","114,800","60.3","59,000","67.6","55,800","54.1"
"Has trouble sleeping or staying asleep most of the time or all of the time 19","33,500","17.6","12,400","14.2","21,100","20.4"
"Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20","188,700","93.8","88,200","93.9","100,500","93.6"
"Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20","5,000","2.5","1,700E","1.8E","3,200E","3.0E"
"Health of mouth - very good or excellent 21","120,000","58.7","53,000","55.8","66,900","61.3"
"Health of mouth - fair or poor 21","18,200","8.9","9,700","10.3","8,400","7.7"
"Able to brush teeth without help 22","201,600","98.8","93,400","98.7","108,200","99.0"
"Home has adaptations 23","74,700","36.6","30,400","32.0","44,300","40.7"
"Had a fall in the past 12 months 24","34,600","17.1","14,800","15.7","19,800","18.3"
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","39,100","19.1","11,500","12.1","27,600","25.2"
"Received community support services in the past 12 months 26","19,400","9.5","6,100","6.4","13,300","12.2"
"Felt a lack of companionship - often 27","12,100","6.4","4,100E","4.7E","8,000","7.8"
"Felt left out - often 28","6,900","3.6","2,400E","2.8E","4,400E","4.3E"
"Felt isolated from others - often 29","12,800","6.8","4,600E","5.3E","8,300","8.0"
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","F","F","F","F","F","F"
"Has valid driver's license 31","177,700","86.9","88,000","92.6","89,700","82.0"

Symbol legend:
E, use with caution
F, too unreliable to be published




Footnotes:
1,"Source: Statistics Canada, Canadian Health Survey on Seniors (CHSS)."
2,"All estimates in this table are calculated excluding non-response categories ("refusal", "don't know", and "not stated") in the denominator."
3,"Data for the Canadian Health Survey on Seniors (CHSS) are collected from an annual sample of approximately 23,500 respondents for each year."
4,"The COVID-19 pandemic had major impacts on the data collection operations for Canadian Health Survey on Seniors (CHSS) 2020. The collection was stopped mid-March, towards the end of the first collection period, and did not resume until September. The second, third and fourth quarterly samples were collected during very short collection periods, each of about five weeks, from September to December. The impossibility of conducting in-person interviews, the shorter collection periods and collection capacity issues resulted in a significant decrease in the response rates. As for the 2019 CHSS cycle, survey weights were adjusted to minimize any potential bias that could arise from survey non-response; non-response adjustments and calibration using available auxiliary information were applied and are reflected in the survey weights provided with the data file. Extensive validations of survey estimates were also performed and examined from a bias analysis perspective. Despite these rigorous adjustments and validations, the high non-response increases the risk of a remaining bias and the magnitude with which such a bias could impact estimates produced using the combined 2019-2020 survey data. Therefore, users are advised to use the CHSS 2019-2020 data with caution, especially when creating estimates for small sub-populations."
5,"The confidence interval illustrates the degree of variability associated with a rate. Wide confidence intervals indicate high variability, thus, these rates should be interpreted with due caution. When comparing estimates, it is important to use confidence intervals to determine if differences between values are statistically significant."
6,"Bootstrapping techniques were used to produce the 95% confidence intervals (CIs)."
7,"Data with a coefficient of variation (CV) from 15.1% to 35.0% are identified as follows: (E) use with caution."
8,"Data with a coefficient of variation (CV) greater than 35.0% or that did not meet the minimum sample size requirement were suppressed due to extreme sampling variability and are identified as follows: (F) too unreliable to be published."
9,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable."
10,"Percentages are rounded to the nearest tenth. Numbers are rounded to the nearest hundred."
11,"Census population counts have been used to produce the population projection counts. These counts are used to ensure that the Canadian Health Survey on Seniors (CHSS) survey weights and resulting estimates included in this table are consistent with known population totals."
12,"Population aged 65 and over who reported perceiving their own health status as being either much better or somewhat better than one year ago or either somewhat worse or much worse than one year ago, depending on the indicator. Perceived health refers to the perception of a person's health in general, either by the person himself or herself, or, in the case of proxy response, by the person responding. Health means not only the absence of disease or injury, but also physical, mental and social well-being."
13,"Population aged 65 and over who reported requiring a visit to a medical specialist for a diagnosis or a consultation in the past 12 months."
14,"Population aged 65 and over who reported receiving the pneumococcal vaccine as an adult. The pneumococcal vaccine protects against pneumonia. Brand names of the vaccine are Prevnar-13 and Pneumovax-23."
15,"Population aged 65 and over who reported receiving the shingles vaccine, also known as herpes zoster vaccine, as an adult. Brand names of the vaccine are Shingrix and Zostavax."
