"Health characteristics of seniors aged 65 and over, Canadian Health Survey on Seniors, two-year period estimates 1 2 3 4"
"Frequency: Occasional"
"Table: 13-10-0850-01"
"Release date: 2022-04-19"
"Geography: Canada, Province or territory"
""
""

"Geography","Newfoundland and Labrador",,,,,
"Age group","65 years and over (total)",,,,,
,"2019 / 2020",,,,,
"Sex","Both sexes",,"Males",,"Females",
"Characteristics 4 5 6 7 8 9 10 11","Number of persons","Percentage","Number of persons","Percentage","Number of persons","Percentage"
"Indicators"
"Health is perceived to be somewhat better or much better than 1 year ago 12","11,300","10.2","6,200","11.8","5,100","8.8"
"Health is perceived to be somewhat worse or much worse than 1 year ago 12","19,000","17.3","8,200","15.6","10,900","18.8"
"Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13","38,500","38.2","18,000","39.2","20,500","37.4"
"Had the pneumococcal vaccine 14","33,500","31.5","15,200","30.3","18,300","32.7"
"Had the shingles vaccine 15","22,200","20.3","10,600","20.3","11,600","20.2"
"Influenza immunization in the past 12 months 16 17","60,200","59.8","26,900","58.6","33,300","60.8"
"Used the Internet in the past 12 months 18","74,100","67.1","33,400","63.6","40,700","70.2"
"Has trouble sleeping or staying asleep a little of the time or none of the time 19","57,300","56.9","29,800","65.0","27,400","50.1"
"Has trouble sleeping or staying asleep most of the time or all of the time 19","16,200","16.1","6,000","13.0","10,300","18.8"
"Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20","101,200","92.5","48,400","93.2","52,700","91.9"
"Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20","3,200","3.0","1,600E","3.0E","1,700E","2.9E"
"Health of mouth - very good or excellent 21","66,900","60.6","30,300","57.8","36,500","63.0"
"Health of mouth - fair or poor 21","10,200","9.3","5,600","10.7","4,600","7.9"
"Able to brush teeth without help 22","107,500","97.5","50,600","96.2","56,900","98.7"
"Home has adaptations 23","35,900","32.5","15,700","29.9","20,200","34.9"
"Had a fall in the past 12 months 24","14,500","13.1","6,200","11.8","8,300","14.3"
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","18,600","16.8","7,100","13.6","11,500","19.8"
"Received community support services in the past 12 months 26","8,900","8.1","3,100","5.9","5,800","10.0"
"Felt a lack of companionship - often 27","4,500","4.4","1,800E","3.9E","2,700","4.9"
"Felt left out - often 28","2,200E","2.1E","800E","1.8E","1,300E","2.4E"
"Felt isolated from others - often 29","2,700","2.7","500E","1.0E","2,200E","4.1E"
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","F","F","F","F","F","F"
"Has valid driver's license 31","90,100","81.5","47,500","90.3","42,600","73.5"

Symbol legend:
E, use with caution
F, too unreliable to be published




Footnotes:
1,"Source: Statistics Canada, Canadian Health Survey on Seniors (CHSS)."
2,"All estimates in this table are calculated excluding non-response categories ("refusal", "don't know", and "not stated") in the denominator."
3,"Data for the Canadian Health Survey on Seniors (CHSS) are collected from an annual sample of approximately 23,500 respondents for each year."
4,"The COVID-19 pandemic had major impacts on the data collection operations for Canadian Health Survey on Seniors (CHSS) 2020. The collection was stopped mid-March, towards the end of the first collection period, and did not resume until September. The second, third and fourth quarterly samples were collected during very short collection periods, each of about five weeks, from September to December. The impossibility of conducting in-person interviews, the shorter collection periods and collection capacity issues resulted in a significant decrease in the response rates. As for the 2019 CHSS cycle, survey weights were adjusted to minimize any potential bias that could arise from survey non-response; non-response adjustments and calibration using available auxiliary information were applied and are reflected in the survey weights provided with the data file. Extensive validations of survey estimates were also performed and examined from a bias analysis perspective. Despite these rigorous adjustments and validations, the high non-response increases the risk of a remaining bias and the magnitude with which such a bias could impact estimates produced using the combined 2019-2020 survey data. Therefore, users are advised to use the CHSS 2019-2020 data with caution, especially when creating estimates for small sub-populations."
5,"The confidence interval illustrates the degree of variability associated with a rate. Wide confidence intervals indicate high variability, thus, these rates should be interpreted with due caution. When comparing estimates, it is important to use confidence intervals to determine if differences between values are statistically significant."
6,"Bootstrapping techniques were used to produce the 95% confidence intervals (CIs)."
7,"Data with a coefficient of variation (CV) from 15.1% to 35.0% are identified as follows: (E) use with caution."
8,"Data with a coefficient of variation (CV) greater than 35.0% or that did not meet the minimum sample size requirement were suppressed due to extreme sampling variability and are identified as follows: (F) too unreliable to be published."
9,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable."
10,"Percentages are rounded to the nearest tenth. Numbers are rounded to the nearest hundred."
11,"Census population counts have been used to produce the population projection counts. These counts are used to ensure that the Canadian Health Survey on Seniors (CHSS) survey weights and resulting estimates included in this table are consistent with known population totals."
12,"Population aged 65 and over who reported perceiving their own health status as being either much better or somewhat better than one year ago or either somewhat worse or much worse than one year ago, depending on the indicator. Perceived health refers to the perception of a person's health in general, either by the person himself or herself, or, in the case of proxy response, by the person responding. Health means not only the absence of disease or injury, but also physical, mental and social well-being."
13,"Population aged 65 and over who reported requiring a visit to a medical specialist for a diagnosis or a consultation in the past 12 months."
14,"Population aged 65 and over who reported receiving the pneumococcal vaccine as an adult. The pneumococcal vaccine protects against pneumonia. Brand names of the vaccine are Prevnar-13 and Pneumovax-23."
15,"Population aged 65 and over who reported receiving the shingles vaccine, also known as herpes zoster vaccine, as an adult. Brand names of the vaccine are Shingrix and Zostavax."
