"Health characteristics of seniors aged 65 and over, Canadian Health Survey on Seniors, two-year period estimates 1 2 3 4"
"Frequency: Occasional"
"Table: 13-10-0850-01"
"Release date: 2022-04-19"
"Geography: Canada, Province or territory"
""
""

"Geography","Nova Scotia",,,,,
"Age group","65 years and over (total)",,,,,
,"2019 / 2020",,,,,
"Sex","Both sexes",,"Males",,"Females",
"Characteristics 4 5 6 7 8 9 10 11","Number of persons","Percentage","Number of persons","Percentage","Number of persons","Percentage"
"Indicators"
"Health is perceived to be somewhat better or much better than 1 year ago 12","24,200","12.3","10,100","11.1","14,100","13.4"
"Health is perceived to be somewhat worse or much worse than 1 year ago 12","35,900","18.3","15,200","16.7","20,800","19.7"
"Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13","70,200","38.9","33,700","41.0","36,500","37.1"
"Had the pneumococcal vaccine 14","94,200","50.1","39,000","44.9","55,200","54.6"
"Had the shingles vaccine 15","57,500","29.7","25,500","28.3","32,000","31.0"
"Influenza immunization in the past 12 months 16 17","132,000","73.0","59,400","72.2","72,600","73.7"
"Used the Internet in the past 12 months 18","139,600","71.2","66,300","72.8","73,200","69.7"
"Has trouble sleeping or staying asleep a little of the time or none of the time 19","101,400","56.1","51,600","62.7","49,800","50.6"
"Has trouble sleeping or staying asleep most of the time or all of the time 19","30,400","16.8","11,800","14.4","18,600","18.8"
"Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20","181,600","93.7","85,300","94.8","96,300","92.8"
"Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20","5,000E","2.6E","1,400E","1.5E","3,600E","3.5E"
"Health of mouth - very good or excellent 21","122,300","62.4","54,200","59.6","68,100","64.8"
"Health of mouth - fair or poor 21","19,900","10.2","9,800","10.7","10,100","9.7"
"Able to brush teeth without help 22","192,400","98.1","89,800","98.6","102,600","97.6"
"Home has adaptations 23","78,000","39.8","32,000","35.2","46,000","43.8"
"Had a fall in the past 12 months 24","33,900","17.3","15,000","16.4","19,000","18.0"
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","41,800","21.3","15,100","16.6","26,700","25.4"
"Received community support services in the past 12 months 26","19,600","10.0","7,500","8.2","12,100","11.5"
"Felt a lack of companionship - often 27","10,700","5.9","3,100","3.7","7,600","7.8"
"Felt left out - often 28","4,000","2.2","1,300E","1.5E","2,700E","2.8E"
"Felt isolated from others - often 29","5,200","2.9","1,300E","1.6E","3,900","4.0"
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","F","F","F","F","F","F"
"Has valid driver's license 31","170,100","86.7","85,200","93.6","84,900","80.6"

Symbol legend:
E, use with caution
F, too unreliable to be published




Footnotes:
1,"Source: Statistics Canada, Canadian Health Survey on Seniors (CHSS)."
2,"All estimates in this table are calculated excluding non-response categories ("refusal", "don't know", and "not stated") in the denominator."
3,"Data for the Canadian Health Survey on Seniors (CHSS) are collected from an annual sample of approximately 23,500 respondents for each year."
4,"The COVID-19 pandemic had major impacts on the data collection operations for Canadian Health Survey on Seniors (CHSS) 2020. The collection was stopped mid-March, towards the end of the first collection period, and did not resume until September. The second, third and fourth quarterly samples were collected during very short collection periods, each of about five weeks, from September to December. The impossibility of conducting in-person interviews, the shorter collection periods and collection capacity issues resulted in a significant decrease in the response rates. As for the 2019 CHSS cycle, survey weights were adjusted to minimize any potential bias that could arise from survey non-response; non-response adjustments and calibration using available auxiliary information were applied and are reflected in the survey weights provided with the data file. Extensive validations of survey estimates were also performed and examined from a bias analysis perspective. Despite these rigorous adjustments and validations, the high non-response increases the risk of a remaining bias and the magnitude with which such a bias could impact estimates produced using the combined 2019-2020 survey data. Therefore, users are advised to use the CHSS 2019-2020 data with caution, especially when creating estimates for small sub-populations."
5,"The confidence interval illustrates the degree of variability associated with a rate. Wide confidence intervals indicate high variability, thus, these rates should be interpreted with due caution. When comparing estimates, it is important to use confidence intervals to determine if differences between values are statistically significant."
6,"Bootstrapping techniques were used to produce the 95% confidence intervals (CIs)."
7,"Data with a coefficient of variation (CV) from 15.1% to 35.0% are identified as follows: (E) use with caution."
8,"Data with a coefficient of variation (CV) greater than 35.0% or that did not meet the minimum sample size requirement were suppressed due to extreme sampling variability and are identified as follows: (F) too unreliable to be published."
9,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable."
10,"Percentages are rounded to the nearest tenth. Numbers are rounded to the nearest hundred."
11,"Census population counts have been used to produce the population projection counts. These counts are used to ensure that the Canadian Health Survey on Seniors (CHSS) survey weights and resulting estimates included in this table are consistent with known population totals."
12,"Population aged 65 and over who reported perceiving their own health status as being either much better or somewhat better than one year ago or either somewhat worse or much worse than one year ago, depending on the indicator. Perceived health refers to the perception of a person's health in general, either by the person himself or herself, or, in the case of proxy response, by the person responding. Health means not only the absence of disease or injury, but also physical, mental and social well-being."
13,"Population aged 65 and over who reported requiring a visit to a medical specialist for a diagnosis or a consultation in the past 12 months."
14,"Population aged 65 and over who reported receiving the pneumococcal vaccine as an adult. The pneumococcal vaccine protects against pneumonia. Brand names of the vaccine are Prevnar-13 and Pneumovax-23."
15,"Population aged 65 and over who reported receiving the shingles vaccine, also known as herpes zoster vaccine, as an adult. Brand names of the vaccine are Shingrix and Zostavax."
