"Health characteristics of seniors aged 65 and over, Canadian Health Survey on Seniors, two-year period estimates 1 2 3 4"
"Frequency: Occasional"
"Table: 13-10-0850-01"
"Release date: 2022-04-19"
"Geography: Canada, Province or territory"
""
""

"Geography","Ontario",,,,,
"Age group","65 years and over (total)",,,,,
,"2019 / 2020",,,,,
"Sex","Both sexes",,"Males",,"Females",
"Characteristics 4 5 6 7 8 9 10 11","Number of persons","Percentage","Number of persons","Percentage","Number of persons","Percentage"
"Indicators"
"Health is perceived to be somewhat better or much better than 1 year ago 12","335,900","13.6","157,700","13.9","178,200","13.4"
"Health is perceived to be somewhat worse or much worse than 1 year ago 12","517,000","21.0","213,500","18.9","303,500","22.8"
"Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13","1,015,600","45.1","495,500","48.3","520,100","42.5"
"Had the pneumococcal vaccine 14","1,183,500","51.4","502,400","48.7","681,100","53.5"
"Had the shingles vaccine 15","1,207,700","50.4","558,300","51.1","649,400","49.9"
"Influenza immunization in the past 12 months 16 17","1,539,700","68.6","694,700","68.1","845,000","69.1"
"Used the Internet in the past 12 months 18","1,826,200","74.1","863,100","76.4","963,100","72.1"
"Has trouble sleeping or staying asleep a little of the time or none of the time 19","1,333,700","59.4","700,800","68.4","632,900","51.8"
"Has trouble sleeping or staying asleep most of the time or all of the time 19","356,100","15.9","123,400","12.0","232,600","19.0"
"Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20","2,242,300","93.5","1,036,400","93.3","1,205,900","93.7"
"Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20","75,800","3.2","38,600E","3.5E","37,100E","2.9E"
"Health of mouth - very good or excellent 21","1,455,500","59.1","653,200","57.9","802,200","60.2"
"Health of mouth - fair or poor 21","279,200","11.3","115,600","10.2","163,500","12.3"
"Able to brush teeth without help 22","2,433,600","98.7","1,107,500","97.9","1,326,000","99.3"
"Home has adaptations 23","797,000","32.4","302,000","26.8","495,000","37.1"
"Had a fall in the past 12 months 24","459,800","18.7","190,900","16.9","268,900","20.2"
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","403,500","16.4","128,400","11.4","275,100","20.6"
"Received community support services in the past 12 months 26","253,300","10.3","92,300","8.2","161,000","12.1"
"Felt a lack of companionship - often 27","137,600","6.1","47,900","4.7","89,700","7.4"
"Felt left out - often 28","74,000","3.3","30,800E","3.0E","43,100","3.5"
"Felt isolated from others - often 29","97,800","4.4","26,900E","2.6E","70,900","5.8"
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","F","F","F","F","F","F"
"Has valid driver's license 31","1,982,900","80.4","1,007,300","89.0","975,600","73.0"

Symbol legend:
E, use with caution
F, too unreliable to be published




Footnotes:
1,"Source: Statistics Canada, Canadian Health Survey on Seniors (CHSS)."
2,"All estimates in this table are calculated excluding non-response categories ("refusal", "don't know", and "not stated") in the denominator."
3,"Data for the Canadian Health Survey on Seniors (CHSS) are collected from an annual sample of approximately 23,500 respondents for each year."
4,"The COVID-19 pandemic had major impacts on the data collection operations for Canadian Health Survey on Seniors (CHSS) 2020. The collection was stopped mid-March, towards the end of the first collection period, and did not resume until September. The second, third and fourth quarterly samples were collected during very short collection periods, each of about five weeks, from September to December. The impossibility of conducting in-person interviews, the shorter collection periods and collection capacity issues resulted in a significant decrease in the response rates. As for the 2019 CHSS cycle, survey weights were adjusted to minimize any potential bias that could arise from survey non-response; non-response adjustments and calibration using available auxiliary information were applied and are reflected in the survey weights provided with the data file. Extensive validations of survey estimates were also performed and examined from a bias analysis perspective. Despite these rigorous adjustments and validations, the high non-response increases the risk of a remaining bias and the magnitude with which such a bias could impact estimates produced using the combined 2019-2020 survey data. Therefore, users are advised to use the CHSS 2019-2020 data with caution, especially when creating estimates for small sub-populations."
5,"The confidence interval illustrates the degree of variability associated with a rate. Wide confidence intervals indicate high variability, thus, these rates should be interpreted with due caution. When comparing estimates, it is important to use confidence intervals to determine if differences between values are statistically significant."
6,"Bootstrapping techniques were used to produce the 95% confidence intervals (CIs)."
7,"Data with a coefficient of variation (CV) from 15.1% to 35.0% are identified as follows: (E) use with caution."
8,"Data with a coefficient of variation (CV) greater than 35.0% or that did not meet the minimum sample size requirement were suppressed due to extreme sampling variability and are identified as follows: (F) too unreliable to be published."
9,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable."
10,"Percentages are rounded to the nearest tenth. Numbers are rounded to the nearest hundred."
11,"Census population counts have been used to produce the population projection counts. These counts are used to ensure that the Canadian Health Survey on Seniors (CHSS) survey weights and resulting estimates included in this table are consistent with known population totals."
12,"Population aged 65 and over who reported perceiving their own health status as being either much better or somewhat better than one year ago or either somewhat worse or much worse than one year ago, depending on the indicator. Perceived health refers to the perception of a person's health in general, either by the person himself or herself, or, in the case of proxy response, by the person responding. Health means not only the absence of disease or injury, but also physical, mental and social well-being."
13,"Population aged 65 and over who reported requiring a visit to a medical specialist for a diagnosis or a consultation in the past 12 months."
14,"Population aged 65 and over who reported receiving the pneumococcal vaccine as an adult. The pneumococcal vaccine protects against pneumonia. Brand names of the vaccine are Prevnar-13 and Pneumovax-23."
15,"Population aged 65 and over who reported receiving the shingles vaccine, also known as herpes zoster vaccine, as an adult. Brand names of the vaccine are Shingrix and Zostavax."
16,"Population aged 65 and over who reported having an influenza immunization (flu shot) in the past 12 months."
