"Health characteristics of seniors aged 65 and over, Canadian Health Survey on Seniors, two-year period estimates 1 2 3 4"
"Frequency: Occasional"
"Table: 13-10-0850-01"
"Release date: 2022-04-19"
"Geography: Canada, Province or territory"
""
""

"Geography","Saskatchewan",,,,,
"Age group","65 years and over (total)",,,,,
,"2019 / 2020",,,,,
"Sex","Both sexes",,"Males",,"Females",
"Characteristics 4 5 6 7 8 9 10 11","Number of persons","Percentage","Number of persons","Percentage","Number of persons","Percentage"
"Indicators"
"Health is perceived to be somewhat better or much better than 1 year ago 12","21,100","12.2","8,900","10.9","12,200","13.3"
"Health is perceived to be somewhat worse or much worse than 1 year ago 12","32,300","18.6","15,300","18.8","16,900","18.4"
"Required a visit to a medical specialist for a diagnosis or a consultation in the past 12 months 13","65,400","39.6","30,900","40.9","34,500","38.5"
"Had the pneumococcal vaccine 14","87,900","52.4","37,400","47.4","50,500","56.8"
"Had the shingles vaccine 15","50,200","29.3","22,700","28.0","27,500","30.4"
"Influenza immunization in the past 12 months 16 17","105,300","63.7","45,400","60.0","59,900","66.9"
"Used the Internet in the past 12 months 18","124,500","71.6","59,500","72.8","65,000","70.6"
"Has trouble sleeping or staying asleep a little of the time or none of the time 19","89,800","54.6","46,400","61.6","43,400","48.7"
"Has trouble sleeping or staying asleep most of the time or all of the time 19","28,500","17.3","10,000","13.3","18,500","20.7"
"Instrumental and basic activities of daily living classification: Mild impairment/no functional impairment 20","162,500","95.3","76,800","95.4","85,700","95.1"
"Instrumental and basic activities of daily living classification: Severe impairment or total impairment 20","2,300E","1.3E","1,000E","1.3E","1,300E","1.4E"
"Health of mouth - very good or excellent 21","98,700","56.8","45,700","55.9","53,000","57.7"
"Health of mouth - fair or poor 21","18,100","10.4","10,300","12.6","7,800","8.5"
"Able to brush teeth without help 22","172,300","99.1","81,000","99.0","91,300","99.2"
"Home has adaptations 23","62,200","35.9","24,700","30.2","37,500","41.0"
"Had a fall in the past 12 months 24","30,800","17.7","12,200","14.9","18,600","20.3"
"Received assistance from family, friends or neighbours for a health problem or limitation in the past 12 months 25","31,200","17.9","11,900","14.6","19,200","20.9"
"Received community support services in the past 12 months 26","14,000","8.0","5,600","6.8","8,400","9.1"
"Felt a lack of companionship - often 27","10,700","6.5","3,800","5.0","6,900","7.7"
"Felt left out - often 28","4,900","3.0","1,700E","2.2E","3,200E","3.6E"
"Felt isolated from others - often 29","8,400","5.1","3,900E","5.2E","4,500","5.0"
"Felt like they wanted to participate in more social, recreational or group activities in past 12 months 30","F","F","F","F","F","F"
"Has valid driver's license 31","152,100","87.4","75,700","92.4","76,500","83.0"

Symbol legend:
E, use with caution
F, too unreliable to be published




Footnotes:
1,"Source: Statistics Canada, Canadian Health Survey on Seniors (CHSS)."
2,"All estimates in this table are calculated excluding non-response categories ("refusal", "don't know", and "not stated") in the denominator."
3,"Data for the Canadian Health Survey on Seniors (CHSS) are collected from an annual sample of approximately 23,500 respondents for each year."
4,"The COVID-19 pandemic had major impacts on the data collection operations for Canadian Health Survey on Seniors (CHSS) 2020. The collection was stopped mid-March, towards the end of the first collection period, and did not resume until September. The second, third and fourth quarterly samples were collected during very short collection periods, each of about five weeks, from September to December. The impossibility of conducting in-person interviews, the shorter collection periods and collection capacity issues resulted in a significant decrease in the response rates. As for the 2019 CHSS cycle, survey weights were adjusted to minimize any potential bias that could arise from survey non-response; non-response adjustments and calibration using available auxiliary information were applied and are reflected in the survey weights provided with the data file. Extensive validations of survey estimates were also performed and examined from a bias analysis perspective. Despite these rigorous adjustments and validations, the high non-response increases the risk of a remaining bias and the magnitude with which such a bias could impact estimates produced using the combined 2019-2020 survey data. Therefore, users are advised to use the CHSS 2019-2020 data with caution, especially when creating estimates for small sub-populations."
5,"The confidence interval illustrates the degree of variability associated with a rate. Wide confidence intervals indicate high variability, thus, these rates should be interpreted with due caution. When comparing estimates, it is important to use confidence intervals to determine if differences between values are statistically significant."
6,"Bootstrapping techniques were used to produce the 95% confidence intervals (CIs)."
7,"Data with a coefficient of variation (CV) from 15.1% to 35.0% are identified as follows: (E) use with caution."
8,"Data with a coefficient of variation (CV) greater than 35.0% or that did not meet the minimum sample size requirement were suppressed due to extreme sampling variability and are identified as follows: (F) too unreliable to be published."
9,"The following standard symbols are used in this Statistics Canada table: (..) for figures not available for a specific reference period and (...) for figures not applicable."
10,"Percentages are rounded to the nearest tenth. Numbers are rounded to the nearest hundred."
11,"Census population counts have been used to produce the population projection counts. These counts are used to ensure that the Canadian Health Survey on Seniors (CHSS) survey weights and resulting estimates included in this table are consistent with known population totals."
12,"Population aged 65 and over who reported perceiving their own health status as being either much better or somewhat better than one year ago or either somewhat worse or much worse than one year ago, depending on the indicator. Perceived health refers to the perception of a person's health in general, either by the person himself or herself, or, in the case of proxy response, by the person responding. Health means not only the absence of disease or injury, but also physical, mental and social well-being."
13,"Population aged 65 and over who reported requiring a visit to a medical specialist for a diagnosis or a consultation in the past 12 months."
14,"Population aged 65 and over who reported receiving the pneumococcal vaccine as an adult. The pneumococcal vaccine protects against pneumonia. Brand names of the vaccine are Prevnar-13 and Pneumovax-23."
15,"Population aged 65 and over who reported receiving the shingles vaccine, also known as herpes zoster vaccine, as an adult. Brand names of the vaccine are Shingrix and Zostavax."
